site_id,road
臺北市士林區,塔悠路
臺北市士林區,中庸一路
臺北市士林區,中庸二路
臺北市士林區,中庸五路
臺北市士林區,中正路
臺北市士林區,中社路
臺北市士林區,中華路
臺北市士林區,仁民路
臺北市士林區,光華路
臺北市士林區,克強路
臺北市士林區,凱旋路
臺北市士林區,劍南路
臺北市士林區,劍潭路
臺北市士林區,和平路
臺北市士林區,基河路
臺北市士林區,士商路
臺北市士林區,士東路
臺北市士林區,大亨路
臺北市士林區,大北路
臺北市士林區,大南路
臺北市士林區,大東路
臺北市士林區,大西路
臺北市士林區,天母北路
臺北市士林區,天母東路
臺北市士林區,天母西路
臺北市士林區,延平北路
臺北市士林區,建業路
臺北市士林區,德行東路
臺北市士林區,德行西路
臺北市士林區,忠誠路
臺北市士林區,承德路
臺北市士林區,故宮路
臺北市士林區,文昌路
臺北市士林區,文林路
臺北市士林區,新安路
臺北市士林區,東山路
臺北市士林區,格致路
臺北市士林區,永公路
臺北市士林區,環河北路
臺北市士林區,社正路
臺北市士林區,福國路
臺北市士林區,福德路
臺北市士林區,福志路
臺北市士林區,福林路
臺北市士林區,福華路
臺北市士林區,竹子湖路
臺北市士林區,臨溪路
臺北市士林區,至善路
臺北市士林區,至誠路
臺北市士林區,芝玉路
臺北市士林區,莊頂路
臺北市士林區,菁山路
臺北市士林區,華岡路
臺北市士林區,重慶北路
臺北市士林區,陽明路
臺北市士林區,雨農路
臺北市大同區,八德路
臺北市大同區,天水路
臺北市大同區,太原路
臺北市大同區,寧夏路
臺北市大同區,延平北路
臺北市大同區,忠孝西路
臺北市大同區,承德路
臺北市大同區,敦煌路
臺北市大同區,民族西路
臺北市大同區,民權西路
臺北市大同區,民生西路
臺北市大同區,環河北路
臺北市大同區,西寧北路
臺北市大同區,鄭州路
臺北市大同區,重慶北路
臺北市大同區,長安西路
臺北市大同區,中華路
臺北市大同區,南寧路
臺北市大同區,和平西路
臺北市大同區,國興路
臺北市大安區,健康路
臺北市大安區,師大路
臺北市大安區,建國南路
臺北市大安區,復興南路
臺北市大安區,忠孝東路
臺北市大安區,愛國東路
臺北市大安區,敦化南路
臺北市大安區,新生北路
臺北市大安區,新生南路
臺北市大安區,杭州南路
臺北市大安區,樂利路
臺北市大安區,濟南路
臺北市大安區,羅斯福路
臺北市大安區,芳蘭路
臺北市大安區,辛亥路
臺北市大安區,金山南路
臺北市大安區,中山北路
臺北市大安區,八德路
臺北市大安區,劍南路
臺北市大安區,北安路
臺北市大安區,南京東路
臺北市中山區,光復北路
臺北市中山區,南京西路
臺北市中山區,吉林路
臺北市中山區,基湖路
臺北市中山區,天祥路
臺北市中山區,崇實路
臺北市中山區,建國北路
臺北市中山區,建國南路
臺北市中山區,復興北路
臺北市中山區,復興南路
臺北市中山區,敬業一路
臺北市中山區,敬業三路
臺北市中山區,敬業二路
臺北市中山區,敬業四路
臺北市中山區,新生北路
臺北市中山區,明水路
臺北市中山區,松江路
臺北市中山區,林森北路
臺北市中山區,植福路
臺北市中山區,樂群三路
臺北市中山區,樂群二路
臺北市中山區,民族東路
臺北市中山區,民族西路
臺北市中山區,民權東路
臺北市中山區,民權西路
臺北市中山區,民生東路
臺北市中山區,民生西路
臺北市中山區,渭水路
臺北市中山區,長安東路
臺北市中山區,長安西路
